,title,description,publishedAt
592,"Opinion: In Florida, Puerto Rican voters hold the key  - CNN","Pedro Reina-Perez writes that Puerto Rico Gov. Wanda Vázquez Garced's endorsement of President Donald Trump holds little-to-no pull with Puerto Ricans, many of whom now live in Florida.",2020-11-02
593,"Opinion: In Florida, Puerto Rican voters hold the key  - CNN","Pedro Reina-Perez writes that Puerto Rico Gov. Wanda Vázquez Garced's endorsement of President Donald Trump holds little-to-no pull with Puerto Ricans, many of whom now live in Florida.",2020-11-02
594,The US election is a vote on climate change for the whole world - CNN,"What the next president does or doesn't do over the next four years will have a profound impact on the whether the world is able to avert the worst effects of climate change,  scientists, policy makers and activists say. ",2020-11-02
595,The US election is a vote on climate change for the whole world - CNN,"What the next president does or doesn't do over the next four years will have a profound impact on the whether the world is able to avert the worst effects of climate change,  scientists, policy makers and activists say. ",2020-11-02
596,Former CIA director: Trump likely to put up challenges to election result  - CNN Video,"Former CIA Director John Brennan speaks to CNN's Erin Burnett about a report from threat trackers at the International Crisis Group that warns America could face ""unfamiliar danger"" in the days around the presidential election. ",2020-11-02
597,The US election is a vote on climate change for the whole world - CNN,"What the next president does or doesn't do over the next four years will have a profound impact on the whether the world is able to avert the worst effects of climate change,  scientists, policy makers and activists say. ",2020-11-02
598,New Zealand's Jacinda Ardern appoints country's first Indigenous female foreign minister  - CNN,New Zealand appointed its first Indigenous female foreign minister Monday to represent what's shaping up to be one of the most diverse parliaments in the world.,2020-11-02
599,Federal authorities expected to erect 'non-scalable' fence around White House - CNNPolitics,"Federal authorities are expected to put back into place a ""non-scalable"" fence around the entire perimeter of the White House on Monday as law enforcement and other agencies prepare for possible protests surrounding the election, a source with knowledge of the matter confirmed to CNN.",2020-11-02
600,US election 2020: How Trump-appointed judges have made it harder to vote (opinion)  - CNN,"Joshua A. Douglas writes that many federal appeals courts -- with Trump appointees often casting one of the deciding votes.-- have refused to invalidate laws that force voters to jump through numerous hoops to cast their ballots. ""The goal of these restrictive laws seems to be to try to depress turnout among some voters and make it easier for Republicans to win re-election."" ",2020-11-02
601,New Zealand's Jacinda Ardern appoints country's first Indigenous female foreign minister  - CNN,New Zealand appointed its first Indigenous female foreign minister Monday to represent what's shaping up to be one of the most diverse parliaments in the world.,2020-11-02
602,Federal authorities expected to erect 'non-scalable' fence around White House - CNNPolitics,"Federal authorities are expected to put back into place a ""non-scalable"" fence around the entire perimeter of the White House on Monday as law enforcement and other agencies prepare for possible protests surrounding the election, a source with knowledge of the matter confirmed to CNN.",2020-11-02
603,"What a Trump or a Biden win would mean for the Middle East 
 - CNN",The US election could change the political calculus of major players in the Middle East.,2020-11-02
604,New Zealand's Jacinda Ardern appoints country's first Indigenous female foreign minister  - CNN,New Zealand appointed its first Indigenous female foreign minister Monday to represent what's shaping up to be one of the most diverse parliaments in the world.,2020-11-02
605,Federal authorities expected to erect 'non-scalable' fence around White House - CNNPolitics,"Federal authorities are expected to put back into place a ""non-scalable"" fence around the entire perimeter of the White House on Monday as law enforcement and other agencies prepare for possible protests surrounding the election, a source with knowledge of the matter confirmed to CNN.",2020-11-02
606,California voters will decide whether to let 17-year-olds vote in primary elections - CNNPolitics,"If a majority of voters pass Proposition 18, then 17-year-olds can vote in primary and special elections as long as they turn 18 by the next general election. ",2020-11-02
607,"In California, voters must choose between cash bail and algorithms - CNN",Cash bail keeps many people behind bars before trial simply because they can't afford to pay to get out. Can algorithms help do a better job? ,2020-11-02
608,New Zealand's Jacinda Ardern appoints country's first Indigenous female foreign minister  - CNN,New Zealand appointed its first Indigenous female foreign minister Monday to represent what's shaping up to be one of the most diverse parliaments in the world.,2020-11-02
609,Anthony Fauci: Trump suggests he might fire infectious disease expert after election - CNNPolitics,"President Donald Trump suggested to a Florida crowd he may fire Dr. Anthony Fauci, the nation's leading expert on infectious diseases, after the election.",2020-11-02
610,Election 2020: Pennsylvania is ready for an election unlike any other - CNN Video,"As Election Day ticks closer, both President Donald Trump and Democratic presidential nominee Joe Biden are making their final push in the battleground state of Pennsylvania. CNN's Sara Murray reports.",2020-11-02
611,Anthony Fauci: Trump suggests he might fire infectious disease expert after election - CNNPolitics,"President Donald Trump suggested to a Florida crowd he may fire Dr. Anthony Fauci, the nation's leading expert on infectious diseases, after the election.",2020-11-02
612,Coronavirus update: Latest world news,"The coronavirus pandemic has brought countries to a standstill. In many places, as countries reopen, Covid-19 cases are on the rise. Follow here for the latest.",2020-11-02
613,Anthony Fauci: Trump suggests he might fire infectious disease expert after election - CNNPolitics,"President Donald Trump suggested to a Florida crowd he may fire Dr. Anthony Fauci, the nation's leading expert on infectious diseases, after the election.",2020-11-02
614,Coronavirus update: Latest world news,"The coronavirus pandemic has brought countries to a standstill. In many places, as countries reopen, Covid-19 cases are on the rise. Follow here for the latest.",2020-11-02
615,Rapper DaBaby is partnering with a voter campaign to provide free rides to the polls - CNN,Grammy-nominated rapper DaBaby is partnering with the #NoCap2020 campaign to bring voters across North Carolina to the polls.,2020-11-02
616,Stocks zoom higher as Wall Street predicts Joe Biden will win - CNN,"US stocks were sharply higher Monday morning, one day before Election Day, when Wall Street expects Joe Biden will win the presidency and Democrats will retake the Senate and maintain control of the House.",2020-11-02
617,"Premarket: What a Biden victory could mean for energy, health care and tech stocks - CNN","Heading into Election Day, former Vice President Joe Biden is the clear frontrunner in the race for the White House. If he wins, and Democrats retake control of the Senate, a growing chorus of Wall Street analysts think markets could benefit.",2020-11-02
618,Afghanistan: Gunmen kill at least 10 students in attack on Kabul university - CNN,"Gunmen attacked Kabul University's campus on Monday, killing at least 10 students and trading fire with security forces, a senior Afghan government source and witnesses said.",2020-11-02
619,Obama heads to Georgia as Democrats seek breakthrough that has eluded them in Trump era  - CNNPolitics,Joe Biden's campaign is dispatching former President Barack Obama to Atlanta on Monday in a bid to finish Democrats' four-year project of turning Georgia blue. ,2020-11-02
620,"US election 2020: Latest news on Biden, Trump and voting","With just one day before the election, the race between President Trump and former Vice President Joe Biden heats up. Here's the latest news on campaigns, voting and more. ",2020-11-02
621,Obama heads to Georgia as Democrats seek breakthrough that has eluded them in Trump era  - CNNPolitics,Joe Biden's campaign is dispatching former President Barack Obama to Atlanta on Monday in a bid to finish Democrats' four-year project of turning Georgia blue. ,2020-11-02
622,Afghanistan: Gunmen kill at least 10 students in attack on Kabul university - CNN,"Gunmen attacked Kabul University's campus on Monday, killing at least 10 students and trading fire with security forces, a senior Afghan government source and witnesses said.",2020-11-02
623,How the politicization of the coronavirus could shape Arizona's most important county - CNNPolitics,"The coronavirus has upended the presidential election and nowhere is that clearer than in Maricopa County, Arizona, the largest swing county in the country.",2020-11-02
624,Fact check: Trump's top election falsehoods to watch for on Election Day - CNNPolitics,President Donald Trump has spent months making false claims in a baseless attempt to raise questions over the integrity of the presidential election.,2020-11-02
625,The US election needs an unequivocal verdict from voters - CNN,People on both sides of the US political divide fear that the country they love will be lost if their preferred candidate does not win on Tuesday. ,2020-11-02
626,Dixville Notch midnight voting tradition: How it almost ended - CNN Video,"The tradition of Dixville Notch's midnight vote was close to not happening. In 2016, CNN's Chris Moody looked at how the town saved its first-to-vote status.",2020-11-02
627,US election: John Avlon calls out Trump's 'voter suppression strategy' - CNN Video,"CNN's John Avlon describes the ""dark history"" of an alternative way to win an election.",2020-11-02
628,"The US is facing its darkest months yet in the pandemic, and the election may not help - CNN",Some health experts say the next three months are going to be the darkest of the Covid-19 pandemic -- and GOP petulance over a Democratic win Tuesday could make things even worse.,2020-11-02
629,Twitter will label premature claims of election victory,"Twitter will apply a warning label to tweets by US political candidates, campaigns and other highly visible accounts that attempt to claim victory before official results have been declared, the company said Monday. ",2020-11-02
630,How the politicization of the coronavirus could shape Arizona's most important county - CNNPolitics,"The coronavirus has upended the presidential election and nowhere is that clearer than in Maricopa County, Arizona, the largest swing county in the country.",2020-11-02
631,US election: John Avlon calls out Trump's 'voter suppression strategy' - CNN Video,"CNN's John Avlon describes the ""dark history"" of an alternative way to win an election.",2020-11-02
632,Vatican says Pope's comments on same-sex civil unions were taken out of context - CNN,"The Vatican has sought to clarify Pope Francis' comments in support of same-sex civil unions, saying they were taken out of context and do not signal a change in doctrine.",2020-11-02
633,Analysis: Fox News is misleading its audience about Trump's election chances - CNN,Why the Fox factor is so important right now.,2020-11-02
634,Supreme Court rules in favor of Black Lives Matter organizer McKesson - CNNPolitics,The Supreme Court wiped away a lower court opinion related to Black Lives Matter protests that critics argued would chill the speech rights of demonstrators and dismantle civil rights era precedent that safeguards the First Amendments' right to protest. ,2020-11-02
635,Analysis: Why wasn't UK public told about Prince William's Covid diagnosis? - CNN,Sunday night's news that Prince William tested positive for coronavirus earlier this year has raised questions as to why the British public was not told that the second-in-line to the throne had been ill during the pandemic.  ,2020-11-02
636,Vatican says Pope's comments on same-sex civil unions were taken out of context - CNN,"The Vatican has sought to clarify Pope Francis' comments in support of same-sex civil unions, saying they were taken out of context and do not signal a change in doctrine.",2020-11-02
637,More than 95 million Americans have voted with one day to go until Election Day  - CNNPolitics,"More than 95 million Americans have voted nationwide with one day left until Election Day, according to a survey of election officials by CNN, Edison Research and Catalist.     ",2020-11-02
638,Supreme Court rules in favor of Black Lives Matter organizer McKesson - CNNPolitics,The Supreme Court wiped away a lower court opinion related to Black Lives Matter protests that critics argued would chill the speech rights of demonstrators and dismantle civil rights era precedent that safeguards the First Amendments' right to protest. ,2020-11-02
639,Vatican says Pope's comments on same-sex civil unions were taken out of context - CNN,"The Vatican has sought to clarify Pope Francis' comments in support of same-sex civil unions, saying they were taken out of context and do not signal a change in doctrine.",2020-11-02
640,Analysis: Why wasn't UK public told about Prince William's Covid diagnosis? - CNN,Sunday night's news that Prince William tested positive for coronavirus earlier this year has raised questions as to why the British public was not told that the second-in-line to the throne had been ill during the pandemic.  ,2020-11-02
641,US election: John Avlon calls out Trump's 'voter suppression strategy' - CNN Video,"CNN's John Avlon describes the ""dark history"" of an alternative way to win an election.",2020-11-02
642,Supreme Court rules in favor of Black Lives Matter organizer McKesson - CNNPolitics,The Supreme Court wiped away a lower court opinion related to Black Lives Matter protests that critics argued would chill the speech rights of demonstrators and dismantle civil rights era precedent that safeguards the First Amendments' right to protest. ,2020-11-02
643,A contested election today could be much scarier for Wall Street compared to the 2000 recount - CNN,Uncertainty is the enemy of markets. And it doesn't get much more uncertain than a messy fight over who the leader of the free world is.,2020-11-02
644,Vatican says Pope's comments on same-sex civil unions were taken out of context - CNN,"The Vatican has sought to clarify Pope Francis' comments in support of same-sex civil unions, saying they were taken out of context and do not signal a change in doctrine.",2020-11-02
645,Kendall Jenner's party sets off social media criticism - CNN Video,Critics are calling out Kendall Jenner after social media images from her 25th birthday party showed a lack of social distancing.,2020-11-02
646,Opinion: 'We have to share this land no matter what' - CNN,"Thomas Lake writes that as we head into a contentious Election Day, we must remember that we, as Americans, are not each other's enemies, and we have to share this land no matter the electoral outcome.",2020-11-02
647,Kendall Jenner's party sets off social media criticism - CNN Video,Critics are calling out Kendall Jenner after social media images from her 25th birthday party showed a lack of social distancing.,2020-11-02
648,"Voters who are sick or in quarantine with Covid-19 can still vote, CDC says. Here's how to do it safely - CNN","Put on a mask, sanitize your hands and stay at least 6 feet away from others.",2020-11-02
649,"People who have Covid-19 or who have been exposed can vote in person, CDC says - CNN","Can you vote in person if you are currently recovering in isolation from Covid-19 or quarantining from being exposed to the virus? Yes, if you take appropriate precautions, the CDC says.",2020-11-02
650,Opinion: The real question of this election - CNN,"John Avlon revisits the question Ronald Reagan asked Americans 40 years ago when he ran against Jimmy Carter: ""Are you better off now than you were four years ago?""  Avlon argues that while good people can disagree about politics, if we look at the data under a Trump administration, the answer is no. ",2020-11-02
651,"Voters who are sick or in quarantine with Covid-19 can still vote, CDC says. Here's how to do it safely - CNN","Put on a mask, sanitize your hands and stay at least 6 feet away from others.",2020-11-02
652,A contested election today could be much scarier for Wall Street compared to the 2000 recount - CNN,Uncertainty is the enemy of markets. And it doesn't get much more uncertain than a messy fight over who the leader of the free world is.,2020-11-02
653,"People who have Covid-19 or who have been exposed can vote in person, CDC says - CNN","Can you vote in person if you are currently recovering in isolation from Covid-19 or quarantining from being exposed to the virus? Yes, if you take appropriate precautions, the CDC says.",2020-11-02
654,Opinion: The real question of this election - CNN,"John Avlon revisits the question Ronald Reagan asked Americans 40 years ago when he ran against Jimmy Carter: ""Are you better off now than you were four years ago?""  Avlon argues that while good people can disagree about politics, if we look at the data under a Trump administration, the answer is no. ",2020-11-02
655,Election 2020: What you need to know about election night - CNNPolitics,"First, have you voted? If not, make your plan and go vote now. Many states allow same-day registration. For rules in your state, check CNN's voter guide here.",2020-11-02
656,Exit polls 2020: What they are and how they'll work in a pandemic - CNNPolitics,"News media and election watchers have long relied on exit polling to tell them who voted and why they support their chosen candidate on election night, and despite the unprecedented challenges that 2020 has presented, this year will be no different.",2020-11-02
657,"The US is facing its darkest months yet in the pandemic, and the election may not help - CNN",Some health experts say the next three months are going to be the darkest of the Covid-19 pandemic -- and GOP petulance over a Democratic win Tuesday could make things even worse.,2020-11-02
658,"The US is facing its darkest months yet in the pandemic, and the election may not help - CNN",Some health experts say the next three months are going to be the darkest of the Covid-19 pandemic -- and GOP petulance over a Democratic win Tuesday could make things even worse.,2020-11-02
659,Election 2020: What you need to know about election night - CNNPolitics,"First, have you voted? If not, make your plan and go vote now. Many states allow same-day registration. For rules in your state, check CNN's voter guide here.",2020-11-02
660,Exit polls 2020: What they are and how they'll work in a pandemic - CNNPolitics,"News media and election watchers have long relied on exit polling to tell them who voted and why they support their chosen candidate on election night, and despite the unprecedented challenges that 2020 has presented, this year will be no different.",2020-11-02
661,Election 2020: What you need to know about election night - CNNPolitics,"First, have you voted? If not, make your plan and go vote now. Many states allow same-day registration. For rules in your state, check CNN's voter guide here.",2020-11-02
662,Exit polls 2020: What they are and how they'll work in a pandemic - CNNPolitics,"News media and election watchers have long relied on exit polling to tell them who voted and why they support their chosen candidate on election night, and despite the unprecedented challenges that 2020 has presented, this year will be no different.",2020-11-02
663,"US election 2020: Latest news on Biden, Trump and voting","With just one day before the election, the race between President Trump and former Vice President Joe Biden heats up. Here's the latest news on campaigns, voting and more. ",2020-11-02
664,Rapper DaBaby is partnering with a voter campaign to provide free rides to the polls - CNN,Grammy-nominated rapper DaBaby is partnering with the #NoCap2020 campaign to bring voters across North Carolina to the polls.,2020-11-02
665,Afghanistan: Gunmen kill at least 10 students in attack on Kabul university - CNN,"Gunmen attacked Kabul University's campus on Monday, killing at least 10 students and trading fire with security forces, a senior Afghan government source and witnesses said.",2020-11-02
666,"Premarket: What a Biden victory could mean for energy, health care and tech stocks - CNN","Heading into Election Day, former Vice President Joe Biden is the clear frontrunner in the race for the White House. If he wins, and Democrats retake control of the Senate, a growing chorus of Wall Street analysts think markets could benefit.",2020-11-02
667,Afghanistan: Gunmen kill at least 10 students in attack on Kabul university - CNN,"Gunmen attacked Kabul University's campus on Monday, killing at least 10 students and trading fire with security forces, a senior Afghan government source and witnesses said.",2020-11-02
668,Stock futures soar as Wall Street predicts Joe Biden will win - CNN,"US stock futures roared higher Monday morning, one day before Election Day, when Wall Street expects Joe Biden will win the presidency and Democrats will retake the Senate and maintain control of the House.",2020-11-02
669,"Premarket: What a Biden victory could mean for energy, health care and tech stocks - CNN","Heading into Election Day, former Vice President Joe Biden is the clear frontrunner in the race for the White House. If he wins, and Democrats retake control of the Senate, a growing chorus of Wall Street analysts think markets could benefit.",2020-11-02
670,"Premarket: What a Biden victory could mean for energy, health care and tech stocks - CNN","Heading into Election Day, former Vice President Joe Biden is the clear frontrunner in the race for the White House. If he wins, and Democrats retake control of the Senate, a growing chorus of Wall Street analysts think markets could benefit.",2020-11-02
671,Afghanistan: Gunmen kill at least 10 students in attack on Kabul university - CNN,"Gunmen attacked Kabul University's campus on Monday, killing at least 10 students and trading fire with security forces, a senior Afghan government source and witnesses said.",2020-11-02
672,Electoral College Interactive Maps: The Road to 270,"View CNN’s interactive and historic Electoral College maps to explore the votes needed to win the US presidential election. For more information, visit cnn.com/election.",2020-11-02
673,Obama heads to Georgia as Democrats seek breakthrough that has eluded them in Trump era  - CNNPolitics,Joe Biden's campaign is dispatching former President Barack Obama to Atlanta on Monday in a bid to finish Democrats' four-year project of turning Georgia blue. ,2020-11-02
674,Twitter will label premature claims of election victory,"Twitter will apply a warning label to tweets by US political candidates, campaigns and other highly visible accounts that attempt to claim victory before official results have been declared, the company said Monday. ",2020-11-02
675,"US presidential election: Battle lines drawn as sports stars, past and present, back Donald Trump or Joe Biden - CNN",Some argue that sports should be kept out of politics but forget that idea in 2020. ,2020-11-02
676,Vatican says Pope's comments on same-sex civil unions were taken out of context - CNN,"The Vatican has sought to clarify Pope Francis' comments in support of same-sex civil unions, saying they were taken out of context and do not signal a change in doctrine.",2020-11-02
677,Analysis: Why wasn't UK public told about Prince William's Covid diagnosis? - CNN,Sunday night's news that Prince William tested positive for coronavirus earlier this year has raised questions as to why the British public was not told that the second-in-line to the throne had been ill during the pandemic.  ,2020-11-02
678,More than 95 million Americans have voted with one day to go until Election Day  - CNNPolitics,"More than 95 million Americans have voted nationwide with one day left until Election Day, according to a survey of election officials by CNN, Edison Research and Catalist.     ",2020-11-02
679,Analysis: Why wasn't UK public told about Prince William's Covid diagnosis? - CNN,Sunday night's news that Prince William tested positive for coronavirus earlier this year has raised questions as to why the British public was not told that the second-in-line to the throne had been ill during the pandemic.  ,2020-11-02
680,Vatican says Pope's comments on same-sex civil unions were taken out of context - CNN,"The Vatican has sought to clarify Pope Francis' comments in support of same-sex civil unions, saying they were taken out of context and do not signal a change in doctrine.",2020-11-02
681,"US presidential election: Battle lines drawn as sports stars, past and present, back Donald Trump or Joe Biden - CNN",Some argue that sports should be kept out of politics but forget that idea in 2020. ,2020-11-02
682,How the politicization of the coronavirus could shape Arizona's most important county - CNNPolitics,"The coronavirus has upended the presidential election and nowhere is that clearer than in Maricopa County, Arizona, the largest swing county in the country.",2020-11-02
683,Fact check: Trump's top election falsehoods to watch for on Election Day - CNNPolitics,President Donald Trump has spent months making false claims in a baseless attempt to raise questions over the integrity of the presidential election.,2020-11-02
684,More than 95 million Americans have voted with one day to go until Election Day  - CNNPolitics,"More than 95 million Americans have voted nationwide with one day left until Election Day, according to a survey of election officials by CNN, Edison Research and Catalist.     ",2020-11-02
685,The US election needs an unequivocal verdict from voters - CNN,People on both sides of the US political divide fear that the country they love will be lost if their preferred candidate does not win on Tuesday. ,2020-11-02
686,Fact check: Trump's top election falsehoods to watch for on Election Day - CNNPolitics,President Donald Trump has spent months making false claims in a baseless attempt to raise questions over the integrity of the presidential election.,2020-11-02
687,Global conflict watchers issue warning of 'unfamiliar danger' ahead of US election  - CNNPolitics,A prominent group of experts that monitors violence around the world has issued an unprecedented warning ahead of Tuesday's presidential election in the United States.,2020-11-02
688,Opinion: Trump's dangerous praise for Texas bus incident - CNN,"Donald Trump's apparent praise for supporters who surrounded a Biden campaign bus in what a Biden official said was an attempt to run it off the road is an alarming turn in his effort to pit Americans against each other, writes Dean Obeidallah. ""Will his supporters view the praise of those in Texas as a greenlight to intimidate or harass voters on Election Day?""",2020-11-02
689,Election Day forecast: Widespread pleasant conditions for Election Day - CNN Video,"Apart from snow showers in the Northeast and rain showers in the Pacific Northwest, widespread pleasant conditions are likely for Election Day. CNN meteorologist Tom Sater has the latest. ",2020-11-02
690,This is how Donald Trump gets to 270 - CNNPolitics,"With just 2 days until the 2020 election, this is the last Sunday newsletter before the country votes. The 5 BIG storylines you need to know to understand the last week on the campaign trail are below. They're ranked -- so the No. 1 story is the most important of the coming week.",2020-11-02
691,How a contested election could play out - CNN Video,CNN political commentator Van Jones explains the various ways that a contested election between President Donald Trump and former Vice President Joe Biden could unfold.,2020-11-02
692,Joy to the Polls releases celebrity curated playlists to be the soundtrack of your voting experience - CNN,The #JoytothePolls movement is now anywhere you can stream Spotify. ,2020-11-02
693,Opinion: Trump's dangerous praise for Texas bus incident - CNN,"Donald Trump's apparent praise for supporters who surrounded a Biden campaign bus in what a Biden official said was an attempt to run it off the road is an alarming turn in his effort to pit Americans against each other, writes Dean Obeidallah. ""Will his supporters view the praise of those in Texas as a greenlight to intimidate or harass voters on Election Day?""",2020-11-02
694,Joy to the Polls releases celebrity curated playlists to be the soundtrack of your voting experience - CNN,The #JoytothePolls movement is now anywhere you can stream Spotify. ,2020-11-02
695,Opinion: Trump's dangerous praise for Texas bus incident - CNN,"Donald Trump's apparent praise for supporters who surrounded a Biden campaign bus in what a Biden official said was an attempt to run it off the road is an alarming turn in his effort to pit Americans against each other, writes Dean Obeidallah. ""Will his supporters view the praise of those in Texas as a greenlight to intimidate or harass voters on Election Day?""",2020-11-02
696,Supreme Court rules in favor of Black Lives Matter organizer McKesson - CNNPolitics,The Supreme Court wiped away a lower court opinion related to Black Lives Matter protests that critics argued would chill the speech rights of demonstrators and dismantle civil rights era precedent that safeguards the First Amendments' right to protest. ,2020-11-02
697,How the politicization of the coronavirus could shape Arizona's most important county - CNNPolitics,"The coronavirus has upended the presidential election and nowhere is that clearer than in Maricopa County, Arizona, the largest swing county in the country.",2020-11-02
698,More than 95 million Americans have voted with one day to go until Election Day  - CNNPolitics,"More than 95 million Americans have voted nationwide with one day left until Election Day, according to a survey of election officials by CNN, Edison Research and Catalist.     ",2020-11-02
699,This Republican lawyer just totally exposed the Trump campaign's voter suppression efforts - CNNPolitics,The jig is up.,2020-11-02
700,"On this day 100 years ago, a White mob unleashed the deadliest Election Day violence in US history - CNN","It's been 100 years since the Ocoee Massacre, a dark and often overlooked chapter in American history.",2020-11-02
701,It's too late to mail in your ballot. Here's what to do instead.,USPS says it needs seven days to safely deliver ballots. We're now just one day away from Election Day.,2020-11-02
702,This Republican lawyer just totally exposed the Trump campaign's voter suppression efforts - CNNPolitics,The jig is up.,2020-11-02
703,"On this day 100 years ago, a White mob unleashed the deadliest Election Day violence in US history - CNN","It's been 100 years since the Ocoee Massacre, a dark and often overlooked chapter in American history.",2020-11-02
704,Anthony Fauci: Trump suggests he might fire infectious disease expert after election - CNNPolitics,"President Donald Trump suggested to a Florida crowd he may fire Dr. Anthony Fauci, the nation's leading expert on infectious diseases, after the election.",2020-11-02
705,Federal authorities expected to erect 'non-scalable' fence around White House - CNNPolitics,"Federal authorities are expected to put back into place a ""non-scalable"" fence around the entire perimeter of the White House on Monday as law enforcement and other agencies prepare for possible protests surrounding the election, a source with knowledge of the matter confirmed to CNN.",2020-11-02
706,British PM Johnson to tell MPs coronavirus deaths could be twice as high in second wave,"UK Prime Minister Boris Johnson is expected to make a statement in the House of Commons on Monday warning lawmakers that coronavirus deaths in the winter could be twice as high as during the first wave of the outbreak, according to Britain's Press Association. ",2020-11-02
707,President Trump suggests he might fire Dr. Fauci after the election - CNN Video,"President Donald Trump suggested to a crowd at a rally in Florida that he may fire Dr. Anthony Fauci, the nation's leading expert on infectious diseases, after the election.",2020-11-02
708,"Belarus: Tens of thousands protest, defying warning shots - CNN","Riot police fired warning shots into the air, used stun grenades and arrested more than 200 people to deter tens of thousands of Belarusians who marched through Minsk on Sunday to demand veteran leader Alexander Lukashenko leave power.",2020-11-02
709,Early voting broke records. Officials hope it will lead to a smoother Election Day - CNNPolitics,"Millions of Americans have already cast their ballots ahead of Election Day, smashing mail-in and early voting records and raising election officials' hopes that the eye-popping early vote totals will ease the potential for problems, chaos and conflict at the polls on November 3.",2020-11-02
710,Pennsylvania governor to urge patience around election results in new statewide ad - CNNPolitics,Pennsylvania Gov. Tom Wolf will urge residents to be patient for their state's election results in a new advertisement aimed at combating concerns that might come with an elongated counting process in the critical swing state. ,2020-11-02
711,Early voting broke records. Officials hope it will lead to a smoother Election Day - CNNPolitics,"Millions of Americans have already cast their ballots ahead of Election Day, smashing mail-in and early voting records and raising election officials' hopes that the eye-popping early vote totals will ease the potential for problems, chaos and conflict at the polls on November 3.",2020-11-02
712,Tanzania police arrest main opposition party leader ahead of protests - CNN,"Tanzanian police have arrested Freeman Mbowe, the leader of the main opposition party Chadema, according to Tundu Lissu, the party's candidate in last week's presidential election.",2020-11-02
713,Bad weather is one problem the 2020 election won't have - CNN,The weather will mostly be dry and warm for a vast majority of the country—good news for those who have waited to brave the outdoor lines on election day. And possibly good news for Democrats.,2020-11-02
714,"Belarus: Tens of thousands protest, defying warning shots - CNN","Riot police fired warning shots into the air, used stun grenades and arrested more than 200 people to deter tens of thousands of Belarusians who marched through Minsk on Sunday to demand veteran leader Alexander Lukashenko leave power.",2020-11-02
715,Early voting broke records. Officials hope it will lead to a smoother Election Day - CNNPolitics,"Millions of Americans have already cast their ballots ahead of Election Day, smashing mail-in and early voting records and raising election officials' hopes that the eye-popping early vote totals will ease the potential for problems, chaos and conflict at the polls on November 3.",2020-11-02
716,"Belarus: Tens of thousands protest, defying warning shots - CNN","Riot police fired warning shots into the air, used stun grenades and arrested more than 200 people to deter tens of thousands of Belarusians who marched through Minsk on Sunday to demand veteran leader Alexander Lukashenko leave power.",2020-11-02
717,Election 2020: What you need to know about election night - CNNPolitics,"First, have you voted? If not, make your plan and go vote now. Many states allow same-day registration. For rules in your state, check CNN's voter guide here.",2020-11-02
718,Exit polls 2020: What they are and how they'll work in a pandemic - CNNPolitics,"News media and election watchers have long relied on exit polling to tell them who voted and why they support their chosen candidate on election night, and despite the unprecedented challenges that 2020 has presented, this year will be no different.",2020-11-02
719,Early voting broke records. Officials hope it will lead to a smoother Election Day - CNNPolitics,"Millions of Americans have already cast their ballots ahead of Election Day, smashing mail-in and early voting records and raising election officials' hopes that the eye-popping early vote totals will ease the potential for problems, chaos and conflict at the polls on November 3.",2020-11-02
720,The US election is a vote on climate change for the whole world - CNN,"What the next president does or doesn't do over the next four years will have a profound impact on the whether the world is able to avert the worst effects of climate change,  scientists, policy makers and activists say. ",2020-11-02
721,Opinion: 'We have to share this land no matter what' - CNN,"Thomas Lake writes that as we head into a contentious Election Day, we must remember that we, as Americans, are not each other's enemies, and we have to share this land no matter the electoral outcome.",2020-11-02
722,"On this day 100 years ago, a White mob unleashed the deadliest Election Day violence in US history - CNN","It's been 100 years since the Ocoee Massacre, a dark and often overlooked chapter in American history.",2020-11-02
723,Opinion: 'We have to share this land no matter what' - CNN,"Thomas Lake writes that as we head into a contentious Election Day, we must remember that we, as Americans, are not each other's enemies, and we have to share this land no matter the electoral outcome.",2020-11-02
724,This Republican lawyer just totally exposed the Trump campaign's voter suppression efforts - CNNPolitics,The jig is up.,2020-11-02
725,"Belarus: Tens of thousands protest, defying warning shots - CNN","Riot police fired warning shots into the air, used stun grenades and arrested more than 200 people to deter tens of thousands of Belarusians who marched through Minsk on Sunday to demand veteran leader Alexander Lukashenko leave power.",2020-11-02
726,Tanzania police arrest main opposition party leader ahead of protests - CNN,"Tanzanian police have arrested Freeman Mbowe, the leader of the main opposition party Chadema, according to Tundu Lissu, the party's candidate in last week's presidential election.",2020-11-02
727,Pennsylvania governor to urge patience around election results in new statewide ad - CNNPolitics,Pennsylvania Gov. Tom Wolf will urge residents to be patient for their state's election results in a new advertisement aimed at combating concerns that might come with an elongated counting process in the critical swing state. ,2020-11-02
728,Bad weather is one problem the 2020 election won't have - CNN,The weather will mostly be dry and warm for a vast majority of the country—good news for those who have waited to brave the outdoor lines on election day. And possibly good news for Democrats.,2020-11-02
729,New Zealand's Jacinda Ardern appoints country's first Indigenous female foreign minister  - CNN,New Zealand appointed its first Indigenous female foreign minister Monday to represent what's shaping up to be one of the most diverse parliaments in the world.,2020-11-02
730,Pennsylvania governor to urge patience around election results in new statewide ad - CNNPolitics,Pennsylvania Gov. Tom Wolf will urge residents to be patient for their state's election results in a new advertisement aimed at combating concerns that might come with an elongated counting process in the critical swing state. ,2020-11-02
